ids,catalog_number,cad
2787985,8GTV-1200-62,
2787984,8GTV-1120-62,
2787983,8GTV-1040-62,
2787982,8GTV-1000-62,
2787981,8GTV-960-62,
2787980,8GTV-896-62,
2787979,8GTV-800-62,
2787978,8GTV-720-62,
2787977,8GTV-640-62,
2787976,8GTV-4400-36,
2787975,8GTV-1440-36,
2787974,8GTV-1280-36,
2787973,8GTV-1224-36,
2787972,8GTV-1200-36,
2787971,8GTV-1120-36,
2787970,8GTV-1040-36,
2787969,8GTV-1000-36,
2787968,8GTV-960-36,
2787967,8GTV-896-36,
2787966,8GTV-800-36,
2787965,8GTV-720-36,
2787964,8GTV-640-36,
2787963,8GTV-4400-21,
2787962,8GTV-1440-21,
2787961,8GTV-1280-21,
2787960,8GTV-1224-21,
2787959,8GTV-1200-21,
2787958,8GTV-1120-21,
2787957,8GTV-1040-21,
2787956,8GTV-1000-21,
2787955,8GTV-960-21,
2787954,8GTV-896-21,
2787953,8GTV-800-21,
2787952,8GTV-720-21,
2787951,8GTV-640-21,
2787950,8GTV-4480-12,
2787949,8GTV-4400-12,
2787948,8GTV-4000-12,
2787947,8GTV-3600-12,
2787946,8GTV-3280-12,
2787945,8GTV-3200-12,
2787944,8GTV-3048-12,
2787943,8GTV-2840-12,
2787942,8GTV-2800-12,
2787941,8GTV-2600-12,
2787940,8GTV-2520-12,
2787939,8GTV-2400-12,
2787938,8GTV-2240-12,
2787937,8GTV-2200-12,
2787936,8GTV-2000-12,
2787935,8GTV-1792-12,
2787934,8GTV-1760-12,
2787933,8GTV-1600-12,
2787932,8GTV-1440-12,
2787931,8GTV-1280-12,
2787930,8GTV-1224-12,
2787929,8GTV-1200-12,
2787928,8GTV-1120-12,
2787927,8GTV-1040-12,
2787926,8GTV-1000-12,
2787925,8GTV-960-12,
2787924,8GTV-896-12,
2787923,8GTV-800-12,
2787922,8GTV-720-12,
2787921,8GTV-640-12,
2385911,6/5VXP1800,
2385910,6/5VXP1600,
2385909,6/5VXP1400,
2385908,6/5VXP1320,
2385907,6/5VXP1250,
2385906,6/5VXP1180,
2385905,6/5VXP1120,
