ids,catalog_number,cad
2070389,6313 NR,http://www.skf.com/cadDownload/02017062403331362408181192d056f/PARTserver02017062403331362408181192d056f.zip
2070381,625-2Z,http://www.skf.com/cadDownload/02017062403331359308180192d056f/PARTserver02017062403331359308180192d056f.zip
2070382,635,http://www.skf.com/cadDownload/02017062403331376408183192d056f/PARTserver02017062403331376408183192d056f.zip
2070406,HE 310,http://www.skf.com/cadDownload/02017062403331374908182192d056f/PARTserver02017062403331374908182192d056f.zip
2070385,6320-2Z/C3,none
2070375,624-2Z,http://www.skf.com/cadDownload/02017062403331393608185192d056f/PARTserver02017062403331393608185192d056f.zip
2070371,6315-2RS1/C3,none
2070370,6320/C4,none
2070367,6310/C4,none
2070366,PDNB 316,none
2070398,NKX 10 TN,http://www.skf.com/cadDownload/02017062403332275008186192d056f/PARTserver02017062403332275008186192d056f.zip
2070364,476218-303 B,none
2070373,6306 NR,http://www.skf.com/cadDownload/02017062403332360808187192d056f/PARTserver02017062403332360808187192d056f.zip
2070372,6316-2Z,http://www.skf.com/cadDownload/02017062403332390408188192d056f/PARTserver02017062403332390408188192d056f.zip
2070368,6000-ZTN9,none
2070369,6217 NR,http://www.skf.com/cadDownload/02017062403332406008189192d056f/PARTserver02017062403332406008189192d056f.zip
2070376,308 N,none
2070362,PDN 308,none
2070361,23160 CCK/C4W33,none
2070365,6305 NR,http://www.skf.com/cadDownload/02017062403332554208190192d056f/PARTserver02017062403332554208190192d056f.zip
2070380,71913 CDGA/P4A,none
2070354,GAZ 500 SA,none
325932,632,none
2070355,NJ 2220 ECP/C3,none
2070357,RBC4B 457969,none
2070363,6309 NR,http://www.skf.com/cadDownload/02017062403333250008193192d056f/PARTserver02017062403333250008193192d056f.zip
2070360,HK 2010,http://www.skf.com/cadDownload/02017062403333265608194192d056f/PARTserver02017062403333265608194192d056f.zip
2070377,62304-2RS1,http://www.skf.com/cadDownload/02017062403333237508192192d056f/PARTserver02017062403333237508192192d056f.zip
2070378,23168 CACK/HA3C4W33,none
2070349,2208 E-2RS1KTN9/C3,none
2070346,3304 ATN9/C3,none
2070359,SALA 45 ES-2RS,http://www.skf.com/cadDownload/02017062403333399708195192d056f/PARTserver02017062403333399708195192d056f.zip
2070358,SAA 45 ES-2RS,http://www.skf.com/cadDownload/02017062403333805308196192d056f/PARTserver02017062403333805308196192d056f.zip
2070350,NU 1036 M/C4VA301,none
2070352,NUB 222 ECJ,http://www.skf.com/cadDownload/02017062403334059608198192d056f/PARTserver02017062403334059608198192d056f.zip
2070351,NJ 317 ECJ,http://www.skf.com/cadDownload/02017062403334075208199192d056f/PARTserver02017062403334075208199192d056f.zip
2070348,NNF 5020 ADA-2LSV,http://www.skf.com/cadDownload/02017062403334317008200192d056f/PARTserver02017062403334317008200192d056f.zip
2070347,3304 ATN9,http://www.skf.com/cadDownload/02017062403334337308201192d056f/PARTserver02017062403334337308201192d056f.zip
2070342,NU 312 ECM/C5,none
2070344,NNF 5016 ADA-2LSV,http://www.skf.com/cadDownload/02017062403334363808202192d056f/PARTserver02017062403334363808202192d056f.zip
2070340,24152 CC/C5W33,none
2070356,1306 EKTN9/C3,none
2070345,16060 MA,http://www.skf.com/cadDownload/02017062403334449608206192d056f/PARTserver02017062403334449608206192d056f.zip
2070338,2205 E-2RS1KTN9/C3,none
2070336,R 313891 A,none
2070334,24036 CCK30/C3W33,none
2070343,NUP 207 ECJ,http://www.skf.com/cadDownload/02017062403334605608208192d056f/PARTserver02017062403334605608208192d056f.zip
2070332,23218 CC/C3,none
2070335,R 313583,none
2070339,23280 CAK/W33,http://www.skf.com/cadDownload/02017062403334980008209192d056f/PARTserver02017062403334980008209192d056f.zip
2070326,FRB 6.5/90,none
2070330,N 60,none
2070325,TS 80,none
2070337,K 81111 TN,http://www.skf.com/cadDownload/02017062403335265508210192d056f/PARTserver02017062403335265508210192d056f.zip
2070324,TS 68,none
2070341,HJ 236 EC,http://www.skf.com/cadDownload/02017062403335285808211192d056f/PARTserver02017062403335285808211192d056f.zip
2070333,NUP 207 ECP/C3,none
2070321,IR 70X80X30,none
2070328,RLS 6-2Z,http://www.skf.com/cadDownload/02017062403335591508212192d056f/PARTserver02017062403335591508212192d056f.zip
2070318,IR 25X30X30,none
2070327,RLS 6-2RS1,http://www.skf.com/cadDownload/02017062403335688308213192d056f/PARTserver02017062403335688308213192d056f.zip
2070320,IR 42X47X20,none
2070319,IR 35X40X30,none
2070323,CRM 20 A,http://www.skf.com/cadDownload/02017062403335961308214192d056f/PARTserver02017062403335961308214192d056f.zip
2070329,RLS 9-2Z,http://www.skf.com/cadDownload/02017062403335976908215192d056f/PARTserver02017062403335976908215192d056f.zip
2070322,NA 2208.2RS,http://www.skf.com/cadDownload/02017062403340157808216192d056f/PARTserver02017062403340157808216192d056f.zip
2070308,SNP 3064X12,none
2070331,HA 2332,http://www.skf.com/cadDownload/02017062403340318508217192d056f/PARTserver02017062403340318508217192d056f.zip
2070316,AH 2309,http://www.skf.com/cadDownload/02017062403340355908218192d056f/PARTserver02017062403340355908218192d056f.zip
2070309,SNP 3164X12,none
2070317,AH 24038,http://www.skf.com/cadDownload/02017062403340373108219192d056f/PARTserver02017062403340373108219192d056f.zip
2070314,3311 DMA,http://www.skf.com/cadDownload/02017062403340448008220192d056f/PARTserver02017062403340448008220192d056f.zip
2070311,SALKB 20 F,http://www.skf.com/cadDownload/02017062403340462008221192d056f/PARTserver02017062403340462008221192d056f.zip
2070304,6214-2Z/C3,none
2070301,6014-2Z/C3,none
