file_name,catalog_number,ids
NA+2204.2RS.zip,NA 2204.2RS,318090
NA+2200.2RS.zip,NA 2200.2RS,318086
HK+5020.zip,HK 5020,318075
NA+2202.2RS.zip,NA 2202.2RS,318088
HK+4520.zip,HK 4520,318074
HK+3020.zip,HK 3020,318069
HK+2538.zip,HK 2538,318065
HK+2216.zip,HK 2216,318060
HK+2516.zip,HK 2516,318063
HK+3016.zip,HK 3016,318068
HK+5025.zip,HK 5025,318076
HK+3026.zip,HK 3026,318070
HK+3520.zip,HK 3520,318072
HK+3512.zip,HK 3512,318071
HK+4020.zip,HK 4020,318073
HK+2820.zip,HK 2820,318067
HK+2512.zip,HK 2512,318062
HK+2212.zip,HK 2212,318059
HK+2220.zip,HK 2220,318061
HK+2020.zip,HK 2020,318058
HK+2520.zip,HK 2520,318064
HK+1612.zip,HK 1612,318051
HK+1616.zip,HK 1616,318052
HK+1816.zip,HK 1816,318054
,K 30X35X17,318038
HK+2816.zip,HK 2816,318066
HK+2016.zip,HK 2016,318056
HK+1712.zip,HK 1712,318053
,K 20X26X20,318037
AS+4565.zip,AS 4565,318039
HK+2012.zip,HK 2012,318055
HK+2018+RS.zip,HK 2018 RS,318057
HK+1512.zip,HK 1512,318048
HK+1412.zip,HK 1412,318047
HK+1010.zip,HK 1010,318043
HK+1210.zip,HK 1210,318045
HK+0910.zip,HK 0910,318042
HK+1012.zip,HK 1012,318044
NK+50%2F35+TN.zip,NK 50/35 TN,318036
HK+0810.zip,HK 0810,318041
KR+90+PPA.zip,KR 90 PPA,318030
HK+0709.zip,HK 0709,318040
HK+1212.zip,HK 1212,318046
HK+1516.zip,HK 1516,318049
NATV+12+PPA.zip,NATV 12 PPA,318034
HK+1522.zip,HK 1522,318050
,KR 32 XB,318021
NK+45%2F20+TN.zip,NK 45/20 TN,318035
NATR+50+PPA.zip,NATR 50 PPA,318025
NATR+12+PPA.zip,NATR 12 PPA,318032
KR+62+PPA.zip,KR 62 PPA,318027
KR+52+PPA.zip,KR 52 PPA,318017
NATR+12+PPXA.zip,NATR 12 PPXA,318033
NATR+40+PPXA.zip,NATR 40 PPXA,318031
KRVE+72+PPA.zip,KRVE 72 PPA,318029
KR+72+PPA.zip,KR 72 PPA,318028
KR+52+B.zip,KR 52 B,318016
NATR+35+PPA.zip,NATR 35 PPA,318022
KRV+52+PPA.zip,KRV 52 PPA,318018
NATR+40+PPA.zip,NATR 40 PPA,318024
NATV+50+PPA.zip,NATV 50 PPA,318026
KRVE+52+PPA.zip,KRVE 52 PPA,318019
KRV+40+PPA.zip,KRV 40 PPA,318015
KR+40+PPXA.zip,KR 40 PPXA,318013
KR+30+XB.zip,KR 30 XB,318020
KRV+19+PPA.zip,KRV 19 PPA,318009
KR+16+PPA.zip,KR 16 PPA,318004
KR+47+B.zip,KR 47 B,318014
KR+22+B.zip,KR 22 B,318010
KR+40+B.zip,KR 40 B,318011
NATV+35+PPA.zip,NATV 35 PPA,318023
KR+40+PPA.zip,KR 40 PPA,318012
KRE+19+PPA.zip,KRE 19 PPA,318008
KR+19+PPXA.zip,KR 19 PPXA,318007
KR+19+PPA.zip,KR 19 PPA,318006
KRE+16+PPA.zip,KRE 16 PPA,318005
KR+26+PPXA.zip,KR 26 PPXA,317997
NATV+25+PPA.zip,NATV 25 PPA,318000
,KR 32 PPXA,317982
KRV+22+PPA.zip,KRV 22 PPA,317998
NATV+30+PPA.zip,NATV 30 PPA,318002
NATV+30+PPXA.zip,NATV 30 PPXA,318003
KRV+26+PPA.zip,KRV 26 PPA,317999
NATR+25+PPXA.zip,NATR 25 PPXA,317996
KR+32+B.zip,KR 32 B,317983
NATV+20+PPA.zip,NATV 20 PPA,317994
NATR+30+PPA.zip,NATR 30 PPA,318001
NATR+20+PPA.zip,NATR 20 PPA,317993
NATR+17+PPA.zip,NATR 17 PPA,317991
NATV+8+PPA.zip,NATV 8 PPA,317990
NATR+25+PPA.zip,NATR 25 PPA,317995
NATR+17+PPXA.zip,NATR 17 PPXA,317992
KR+32+PPA.zip,KR 32 PPA,317981
NATR+8+PPA.zip,NATR 8 PPA,317988
NATR+10+PPA.zip,NATR 10 PPA,317975
NATV+6+PPA.zip,NATV 6 PPA,317986
NATV+6+PPXA.zip,NATV 6 PPXA,317987
NATR+6+PPA.zip,NATR 6 PPA,317984
NATR+8+PPXA.zip,NATR 8 PPXA,317989
KRV+35+PPA.zip,KRV 35 PPA,317972
KR+35+PPA.zip,KR 35 PPA,317971
KRV+32+PPXA.zip,KRV 32 PPXA,317970
KR+30+B.zip,KR 30 B,317980
NATV+10+PPA.zip,NATV 10 PPA,317977
NATR+10+PPXA.zip,NATR 10 PPXA,317976
NATV+15+PPXA.zip,NATV 15 PPXA,317979
KRVE+35+PPA.zip,KRVE 35 PPA,317973
KR+30+PPA.zip,KR 30 PPA,317974
1,AXK 3552,317963
NATR+6+PPXA.zip,NATR 6 PPXA,317985
NATR+15+PPA.zip,NATR 15 PPA,317978
,IR 130X150X50,317958
AS+160200.zip,AS 160200,317968
,K 14X18X17,317960
,NA 4924/C3,317957
KRV+32+PPA.zip,KRV 32 PPA,317969
,K 45X53X20,317956
,IR 120X135X45,317953
1,AXK 1024,317949
HK+3516.2RS.zip,HK 3516.2RS,317964
KR+62+B.zip,KR 62 B,317967
NKI+7%2F12+TN.zip,NKI 7/12 TN,317965
NUKR+52+XA.zip,NUKR 52 XA,317948
NK+10%2F12+TN.zip,NK 10/12 TN,317966
NUKR+80+A.zip,NUKR 80 A,317955
AS+0821.zip,AS 0821,317954
BK+2016.zip,BK 2016,317959
NK+5%2F10+TN.zip,NK 5/10 TN,317962
NA+2204.2RSX.zip,NA 2204.2RSX,317940
NUKR+47+A.zip,NUKR 47 A,317961
NKI+80%2F35.zip,NKI 80/35,317952
NKI+100%2F30.zip,NKI 100/30,317946
AS+7095.zip,AS 7095,317934
NUTR+25+A.zip,NUTR 25 A,317945
NUKR+52+A.zip,NUKR 52 A,317935
K+81107+TN.zip,K 81107 TN,317943
NUTR+50+A.zip,NUTR 50 A,317941
NKIB+5913.zip,NKIB 5913,317944
NKI+90%2F36.zip,NKI 90/36,317938
AS+6085.zip,AS 6085,317930
,K 20X26X13,317922
AS+1024.zip,AS 1024,317939
BK+0408.zip,BK 0408,317932
NUKR+80+XA.zip,NUKR 80 XA,317924
RNA+4822.zip,RNA 4822,317931
1,AXK 6590,317917
NKXR+15+Z.zip,NKXR 15 Z,317933
AS+1730.zip,AS 1730,317936
BK+1516.zip,BK 1516,317929
HK+1520.2RS.zip,HK 1520.2RS,317927
NK+85%2F25.zip,NK 85/25,317951
NK+80%2F35.zip,NK 80/35,317926
1,AXK 100135,317913
NUKRE+90+A.zip,NUKRE 90 A,317923
,IR 25X30X26 5,317909
NUKR+62+XA.zip,NUKR 62 XA,317919
