ids,catalog_number,cad
2070258,23152 CACK/C3W33,none
2070254,23056 CC/C3W33,none
2070253,22312 E/C1,none
2070252,22211 E/C2,none
2070266,23252 CACK/W33,none
2070250,7212 BEGAY,none
2070249,LM 742710,none
2070248,61914/C3,none
2070247,61904/C3,none
2070246,61909/C3,none
2070245,61906/C3,none
2070244,7001 CD/P4ADGB,none
2070243,7302 BEGAP,none
2070242,QJ 208,none
2070241,61907/C3,none
2070240,6222-2Z/C3,none
2070239,6308-2Z/C4,none
2070299,215-Z,http://www.skf.com/cadDownload/02017062214585898664473192d056f/PARTserver02017062214585898664473192d056f.zip
2070297,SYE 2.3/4,http://www.skf.com/cadDownload/02017062214585900264475192d056f/PARTserver02017062214585900264475192d056f.zip
2070237,NN 3022 KTN9/SPW33,none
2070300,215-ZNR,http://www.skf.com/cadDownload/02017062214585900264474192d056f/PARTserver02017062214585900264474192d056f.zip
2070236,6317-2Z/C3,none
2070235,6316-2Z/C3,none
2070231,YET 210-115 W,none
2070233,6017-2RS1/C3,none
2070232,6007-2Z/C3,none
2070230,YET 209-112 W,none
2070262,23176 CA/W33,http://www.skf.com/cadDownload/02017062214585928264477192d056f/PARTserver02017062214585928264477192d056f.zip
2070229,YET 205-015,none
2070273,239/710 CAK/W33,http://www.skf.com/cadDownload/02017062214585934564479192d056f/PARTserver02017062214585934564479192d056f.zip
2070228,6306 ZNRJEM,none
2070226,6205 ZNRJEM,none
2070225,NN 3010 KTN/SPW33,none
2070223,24036 CC/HA3C4W33,none
2070222,24036 CC/HA3W33,none
2070221,24048 CC/HA3C3W33,none
2070220,24048 CC/HA3W33,none
2070219,23176 CAK/C084S2W33X,none
2070257,23084 CAK/W33,http://www.skf.com/cadDownload/02017062214585971964482192d056f/PARTserver02017062214585971964482192d056f.zip
2070256,23076 CC/W33,http://www.skf.com/cadDownload/02017062214585976664483192d056f/PARTserver02017062214585976664483192d056f.zip
2070217,7226 CD/P4ADBVJ107,none
2070216,S7015 CD/P4A,none
