id,catalog_number,cad
2283113,S2  3 3/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-S1-S2_Type2_BushingMaster-S2_3_3-8.IGS
2282887,Q1  7/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-Q1-Type1_Bushing_Master-Q1_7-8.IGS
2272087,VF4S-232,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF4S-232-DEFAULT.IGS
2287637,E 3 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-E_Bushing_Master-E_3_1-4.IGS
2282764,P1  1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-P1_Bushing-Type1_Master-P1__1_1-4.IGS
2287205,8B74SF,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-8AB_LG_Sheavemaster-8B74SF.IGS
2272199,VPS-214 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VPS-214_AH-DEFAULT.IGS
2282888,Q2  1,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-Q2-Type1_Bushing_Master-Q2_1.IGS
2284259,T45LX1,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-T45LX1-DEFAULT.IGS
2294124,254 KD 20 LS1000,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_STD_MASTER-254_KD20_LS1000.IGS
2293938,204 KD 20 LS1400 FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_STD_MASTER-204_KD20_LS1400.IGS
2272616,VF3S-116M,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF3S-116M-DEFAULT.IGS
2275696,VF2B-235,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF2B-235-DEFAULT.IGS
2272478,VTWS-216,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VTWS-216-DEFAULT.IGS
2300051,516H-TAK,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-516H-TAK-DEFAULT.IGS
2272226,VPS-227 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VPS-227-DEFAULT.IGS
2276330,AK74X 1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master3-AK74X_1_1-4.IGS
2287848,N 3 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-N_Bushing_Master-N_3_1-2.IGS
2272574,VF2E-116M,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF2E-116M-DEFAULT.IGS
2282962,R1  2 11/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-R1-R2_Type1_BushingMaster-R1_2_11-16.IGS
2289753,215HMTP15 14T SAE-C 4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-215HMTP-14T-DEFAULT.IGS
2287009,3C200E,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-3C_LG_Sheavemaster-3C200E.IGS
2289760,215SMTP35,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-SMTP_215_TP-DEFAULT.IGS
2276341,AK79X1,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master3-AK79X1.IGS
2299878,237E-BK,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-237E-BK-DEFAULT.IGS
2276531,BK75X3/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-BK_Sheave_Master2-BK75X3-4.IGS
2283279,B 55 MM,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-B_Bushing-Type2_Master-B_55_MM.IGS
2294254,304 KD 20 SS800,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_STD_MASTER-304_KD20_SS800.IGS
2287571,85V3150M,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-85V_LG_Sheavemaster-85V3150M.IGS
2290057,215DSP200-3SS,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-215DSP200-3SS-DEFAULT.IGS
2290110,307TAP-H,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-307TAP_H-DEFAULT.IGS
2289712,203CMTP05 Q210,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-203cmtp-210-DEFAULT.IGS
2294356,354 KD 21 LS700,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_MASTER-354_KD21_LS700.IGS
2284884,5TB62,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5TB-M_Sheave_Master-5TB62.IGS
2288134,SK 2 1/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-SK_Bushing_Master-SK_2_1-16.IGS
2275816,VPLB-224,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VPLB-224-DEFAULT.IGS
2287095,5B40SD,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5AB_SM_Sheavemaster-5B40SD.IGS
2272273,VF4S-327,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF4S-327-DEFAULT.IGS
2293857,203 KD 2 SS500,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD2_STD_MASTER-203_KD2_SS500.IGS
2276483,BK55X1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-BK_Sheave_Master2-BK55X1-2.IGS
2271888,VTBE-116,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VTBE-116-DEFAULT.IGS
2287428,53V475SDS,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-53V_LG_Sheavemaster-53V475SDS.IGS
2287375,45V1030E,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-45V_LG_Sheavemaster-45V1030E.IGS
2278507,2BK80H,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-2BKH_Sheave_Master-2BK80H.IGS
2276041,5TC200,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5TC-L_Sheave_Master-5TC200.IGS
2289976,203TBP103,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-203TBP_Bushing_master-203TBP103.IGS
2287978,SD 13/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-SD_Bushing_Master-SD_13-16.IGS
2282890,Q2  1 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-Q2-Type1_Bushing_Master-Q2_1_1-2.IGS
2274808,B 1 1/8M,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-B_Bushing-Type1_Master-B_1_1-8M.IGS
2293843,203 KD 2 JS700,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-KD2_JUMBO_MASTER-203_KD2_JS700.IGS
2287885,N 5 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-N_Bushing_Master-N_5_3-16.IGS
2272060,VF4S-210 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF4S-210_AH-DEFAULT.IGS
2287869,N 4 15/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-N_Bushing_Master-N_4_15-16.IGS
2287678,F 2 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-F_Bushing_Master-F_2_1-8.IGS
2278488,2BK160H,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-2BKH_Sheave_Master-2BK160H.IGS
2287457,55V590SK,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-55V_LG_Sheavemaster-55V590SK.IGS
2287065,4C180E,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4C_LG_Sheavemaster-4C180E.IGS
