url,catalog_number,name,ids
https://www.baldorvip.com/Drawing/Index/PTG4590AC-896.pdf?partNo=PTG4590AC&dokar=DRW&doknr=896&dokvr=00&document=159A.PLT,PTG4590AC,Drawing #: 896,27936
https://www.baldorvip.com/Drawing/Index/CEM3615T-36LYA002.pdf?partNo=CEM3615T&dokar=DRW&doknr=36LYA002&dokvr=04&document=36LYA002_Layout1.PLT,CEM3615T,Drawing #: 36LYA002,672134
https://www.baldorvip.com/Drawing/Index/CEM3615T-CD0005.pdf?partNo=CEM3615T&dokar=DRW&doknr=CD0005&dokvr=00&document=140E.PLT,CEM3615T,Drawing #: CD0005,672134
https://www.baldorvip.com/Drawing/Index/6P56H3883-35LYW590.pdf?partNo=6P56H3883&dokar=DRW&doknr=35LYW590&dokvr=02&document=35LYW590_Layout1.plt,6P56H3883,Drawing #: 35LYW590,594467
https://www.baldorvip.com/Drawing/Index/6P56H3883-CD0005.pdf?partNo=6P56H3883&dokar=DRW&doknr=CD0005&dokvr=00&document=140E.PLT,6P56H3883,Drawing #: CD0005,594467
https://www.baldorvip.com/Drawing/Index/D1802R-609980-503.pdf?partNo=D1802R&dokar=DRW&doknr=609980-503&dokvr=01&document=609980-503_Layout1.plt,D1802R,Drawing #: 609980-503,689354
https://www.baldorvip.com/Drawing/Index/GR0213C028-GY0213A01.pdf?partNo=GR0213C028&dokar=DRW&doknr=GY0213A01&dokvr=02&document=GY0213A01_Layout1.plt,GR0213C028,Drawing #: GY0213A01,690234
https://www.baldorvip.com/Drawing/Index/NM3538_35-35LYA026.pdf?partNo=NM3538%2F35&dokar=DRW&doknr=35LYA026&dokvr=04&document=35LYA026_Layout1.plt,NM3538/35,Drawing #: 35LYA026,689461
https://www.baldorvip.com/Drawing/Index/NM3538_35-CD0005.pdf?partNo=NM3538%2F35&dokar=DRW&doknr=CD0005&dokvr=00&document=140E.PLT,NM3538/35,Drawing #: CD0005,689461
https://www.baldorvip.com/Drawing/Index/TG200-7-3_8-CD0194.pdf?partNo=TG200-7-3%2F8&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,TG200-7-3/8,Drawing #: CD0194,697915
https://www.baldorvip.com/Drawing/Index/EJMM2534T-5-40LYE211.pdf?partNo=EJMM2534T-5&dokar=DRW&doknr=40LYE211&dokvr=03&document=40LYE211_Layout1.plt,EJMM2534T-5,Drawing #: 40LYE211,699365
https://www.baldorvip.com/Drawing/Index/EJMM2534T-5-CD0006.pdf?partNo=EJMM2534T-5&dokar=DRW&doknr=CD0006&dokvr=00&document=141D.PLT,EJMM2534T-5,Drawing #: CD0006,699365
https://www.baldorvip.com/Drawing/Index/EJMM2534T-5-MN416.pdf?partNo=EJMM2534T-5&dokar=DRW&doknr=MN416&dokvr=01&document=Marketing_PDF_MN416.pdf,EJMM2534T-5,Drawing #: MN416,699365
https://www.baldorvip.com/Drawing/Index/P18G2135-613051-23.pdf?partNo=P18G2135&doknr=613051-23&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fds%2F613051-023.pdf,P18G2135,Drawing #: 613051-23,699638
https://www.baldorvip.com/Drawing/Index/P18G2135-416820-24.pdf?partNo=P18G2135&doknr=416820-24&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fcd%2F416820-024.pdf,P18G2135,Drawing #: 416820-24,699638
https://www.baldorvip.com/Drawing/Index/P18G2135-E01361-A-B007.pdf?partNo=P18G2135&doknr=E01361-A-B007&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fac%2FE01361-A-B007.pdf,P18G2135,Drawing #: E01361-A-B007,699638
https://www.baldorvip.com/Drawing/Index/P18G2134-613051-23.pdf?partNo=P18G2134&doknr=613051-23&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fds%2F613051-023.pdf,P18G2134,Drawing #: 613051-23,699637
https://www.baldorvip.com/Drawing/Index/P18G2134-416820-24.pdf?partNo=P18G2134&doknr=416820-24&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fcd%2F416820-024.pdf,P18G2134,Drawing #: 416820-24,699637
https://www.baldorvip.com/Drawing/Index/P18G2134-E01384-A-B007.pdf?partNo=P18G2134&doknr=E01384-A-B007&url=http%3A%2F%2Fusmghwebapps%2Fmotors%2Fsoftrepo%2Fwebsite%2Fac%2FE01384-A-B007.pdf,P18G2134,Drawing #: E01384-A-B007,699637
