id,catalog_number,cad
1249778,8/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1060.dxf
1249777,8/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX1000.dxf
1249800,8/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX950.dxf
1249799,8/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX900.dxf
1249798,8/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX850.dxf
2242236,8/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX800.dxf
1249797,8/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX750.dxf
1249796,8/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX710.dxf
1249795,8/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX670.dxf
1249794,8/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX630.dxf
1249793,8/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX600.dxf
1249792,8/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX560.dxf
1249791,8/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX530.dxf
1249790,8/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_8_5VX500.dxf
1249737,7/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX2000.dxf
1249736,7/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1900.dxf
1249735,7/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1800.dxf
1249734,7/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1700.dxf
1249733,7/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1600.dxf
1249732,7/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1500.dxf
1249731,7/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1400.dxf
1249730,7/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1320.dxf
1249729,7/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1250.dxf
1249728,7/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1180.dxf
1249727,7/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1120.dxf
1249726,7/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1060.dxf
1249725,7/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX1000.dxf
1249749,7/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX950.dxf
1249748,7/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX900.dxf
1249747,7/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX850.dxf
1249746,7/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX800.dxf
1249745,7/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX750.dxf
1249744,7/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX710.dxf
1249743,7/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_7_5VX670.dxf
