ids,catalog_number,cad
2070328,RLS 6-2Z,http://www.skf.com/cadDownload/02017062414393534525680192d056f/PARTserver02017062414393534525680192d056f.zip
2070322,NA 2208.2RS,http://www.skf.com/cadDownload/02017062414393880825682192d056f/PARTserver02017062414393880825682192d056f.zip
2070327,RLS 6-2RS1,http://www.skf.com/cadDownload/02017062414393771625681192d056f/PARTserver02017062414393771625681192d056f.zip
2070318,IR 25X30X30,none
2070320,IR 42X47X20,none
2070323,CRM 20 A,http://www.skf.com/cadDownload/02017062414394080525683192d056f/PARTserver02017062414394080525683192d056f.zip
2070313,3309 DMA,http://www.skf.com/cadDownload/02017062414394205325684192d056f/PARTserver02017062414394205325684192d056f.zip
2070312,6000-Z,http://www.skf.com/cadDownload/02017062414394222525685192d056f/PARTserver02017062414394222525685192d056f.zip
2070315,24138 CCK30/W33,http://www.skf.com/cadDownload/02017062414394238125686192d056f/PARTserver02017062414394238125686192d056f.zip
2070314,3311 DMA,http://www.skf.com/cadDownload/02017062414394253725687192d056f/PARTserver02017062414394253725687192d056f.zip
2070308,SNP 3064X12,none
2070309,SNP 3164X12,none
2070304,6214-2Z/C3,none
2070305,23226 CCK/C2W33,none
2070311,SALKB 20 F,http://www.skf.com/cadDownload/02017062414394528225689192d056f/PARTserver02017062414394528225689192d056f.zip
2070310,RLS 13,http://www.skf.com/cadDownload/02017062414394525125688192d056f/PARTserver02017062414394525125688192d056f.zip
2070316,AH 2309,http://www.skf.com/cadDownload/02017062414394540725690192d056f/PARTserver02017062414394540725690192d056f.zip
2070303,6214-2RS1/C3,none
2070301,6014-2Z/C3,none
2070302,6017-2Z/C3,none
2070317,AH 24038,http://www.skf.com/cadDownload/02017062414394688925691192d056f/PARTserver02017062414394688925691192d056f.zip
2070297,SYE 2.3/4,none
2070298,15245,none
2070296,SNP 3152X9.1/2,none
2070293,LER 53,none
2070307,23276 CA/W33,http://www.skf.com/cadDownload/02017062414394905725692192d056f/PARTserver02017062414394905725692192d056f.zip
2070292,LER 44,none
2070295,SNP 3060X10.15/16,none
2070287,24048 CCK30/HA3C3W33,none
2070300,215-ZNR,http://www.skf.com/cadDownload/02017062414395489225695192d056f/PARTserver02017062414395489225695192d056f.zip
2070306,23096 CA/W33,http://www.skf.com/cadDownload/02017062414395504825696192d056f/PARTserver02017062414395504825696192d056f.zip
2070284,23968 CAC/HA3W33,none
