id,catalog_number,description,product_substitutions
142019,23Q05L18,Dodge 23Q05L18 CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
142018,23Q05L14,Dodge 23Q05L14 CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
142017,23Q50R56WP,Dodge 23Q50R56WP CENTER DISTANCE: 2.3 RATIO: 50:1 OUTPUT RPM: 35,none
142016,23Q50LR56WP,Dodge 23Q50LR56WP CENTER DISTANCE: 2.3 RATIO: 50:1 OUTPUT RPM: 35,none
142015,23Q40R14WP,Dodge 23Q40R14WP CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
142014,23Q40LR14WP,Dodge 23Q40LR14WP CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
142013,23Q40L56WP,Dodge 23Q40L56WP CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
142012,23Q40L14WP,Dodge 23Q40L14WP CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
142011,23Q30R14WP,Dodge 23Q30R14WP CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
142010,23Q30LR56WP,Dodge 23Q30LR56WP CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
142009,23Q30LR14WP,Dodge 23Q30LR14WP CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
142008,23Q30L56WP,Dodge 23Q30L56WP CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
142007,23Q25R14WP,Dodge 23Q25R14WP CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
142006,23Q25LR14WP,Dodge 23Q25LR14WP CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
142005,23Q25L56WP,Dodge 23Q25L56WP CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
142004,23Q25L14WP,Dodge 23Q25L14WP CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
142003,23Q60LR56WP,Dodge 23Q60LR56WP CENTER DISTANCE: 2.3 RATIO: 60:1 OUTPUT RPM: 29.17,none
142002,23Q60L56WP,Dodge 23Q60L56WP CENTER DISTANCE: 2.3 RATIO: 60:1 OUTPUT RPM: 29.17,none
142001,23Q07R56WP,Dodge 23Q07R56WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
142000,23Q07R18WP,Dodge 23Q07R18WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
141999,23Q07LR18WP,Dodge 23Q07LR18WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
141998,23Q07L56WP,Dodge 23Q07L56WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
141997,23Q07L18WP,Dodge 23Q07L18WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
141996,23Q07L14WP,Dodge 23Q07L14WP CENTER DISTANCE: 2.3 RATIO: 7:1 OUTPUT RPM: 250,none
141995,23Q05R18WP,Dodge 23Q05R18WP CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
141994,23Q05R14WP,Dodge 23Q05R14WP CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
141993,23Q05LR56WP,Dodge 23Q05LR56WP CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
141992,23Q05LR18WP,Dodge 23Q05LR18WP CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
141991,23Q05L18WP,Dodge 23Q05L18WP CENTER DISTANCE: 2.3 RATIO: 5:1 OUTPUT RPM: 350,none
141990,23Q20R56WP,Dodge 23Q20R56WP CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141989,23Q20R14WP,Dodge 23Q20R14WP CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141988,23Q20LR56WP,Dodge 23Q20LR56WP CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141987,23Q20L56WP,Dodge 23Q20L56WP CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141986,23Q20L14WP,Dodge 23Q20L14WP CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141985,23Q15R56WP,Dodge 23Q15R56WP CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141984,23Q15R14WP,Dodge 23Q15R14WP CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141983,23Q15L56WP,Dodge 23Q15L56WP CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141982,23Q10R56WP,Dodge 23Q10R56WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141981,23Q10R18WP,Dodge 23Q10R18WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141980,23Q10R14WP,Dodge 23Q10R14WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141979,23Q10LR18WP,Dodge 23Q10LR18WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141978,23Q10LR14WP,Dodge 23Q10LR14WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141977,23Q10L56WP,Dodge 23Q10L56WP CENTER DISTANCE: 2.3 RATIO: 10:1 OUTPUT RPM: 175,none
141976,23Q60R56,Dodge 23Q60R56 CENTER DISTANCE: 2.3 RATIO: 60:1 OUTPUT RPM: 29.17,none
141975,23Q60LR56,Dodge 23Q60LR56 CENTER DISTANCE: 2.3 RATIO: 60:1 OUTPUT RPM: 29.17,none
141974,23Q60L56,Dodge 23Q60L56 CENTER DISTANCE: 2.3 RATIO: 60:1 OUTPUT RPM: 29.17,none
141973,23Q50R56,Dodge 23Q50R56 CENTER DISTANCE: 2.3 RATIO: 50:1 OUTPUT RPM: 35,none
141972,20Q20L56WP,Dodge 23Q50L56 CENTER DISTANCE: 2.3 RATIO: 50:1 OUTPUT RPM: 35,none
141971,23Q40R56,Dodge 23Q40R56 CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
141970,23Q40LR56,Dodge 23Q40LR56 CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
141969,23Q40LR14,Dodge 23Q40LR14 CENTER DISTANCE: 2.3 RATIO: 40:1 OUTPUT RPM: 43.75,none
141968,23Q30R56,Dodge 23Q30R56 CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
141967,23Q30R14,Dodge 23Q30R14 CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
141966,23Q30LR56,Dodge 23Q30LR56 CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
141965,23Q30LR14,Dodge 23Q30LR14 CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
141964,23Q30L14,Dodge 23Q30L14 CENTER DISTANCE: 2.3 RATIO: 30:1 OUTPUT RPM: 58.33,none
141963,23Q25LR56,Dodge 23Q25LR56 CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
141962,23Q25LR14,Dodge 23Q25LR14 CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
141961,23Q25L56,Dodge 23Q25L56 CENTER DISTANCE: 2.3 RATIO: 25:1 OUTPUT RPM: 70,none
141960,23Q20R14,Dodge 23Q20R14 CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141959,23Q20LR56,Dodge 23Q20LR56 CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141958,23Q20LR14,Dodge 23Q20LR14 CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141957,23Q20L56,Dodge 23Q20L56 CENTER DISTANCE: 2.3 RATIO: 20:1 OUTPUT RPM: 87.5,none
141956,23Q15R56,Dodge 23Q15R56 CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141955,23Q15LR14,Dodge 23Q15LR14 CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141954,23Q15L56,Dodge 23Q15L56 CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141953,23Q15L14,Dodge 23Q15L14 CENTER DISTANCE: 2.3 RATIO: 15:1 OUTPUT RPM: 116.67,none
141952,202Q05R56WP,DODGE 202Q05R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141951,202Q05L14WP,DODGE 202Q05L14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141950,20Q50LR56WP,Dodge 20Q50LR56WP CENTER DISTANCE: 2 RATIO: 50:1 OUTPUT RPM: 35,none
141949,20Q50L56WP,Dodge 20Q50L56WP CENTER DISTANCE: 2 RATIO: 50:1 OUTPUT RPM: 35,none
141948,20Q40R56WP,Dodge 20Q40R56WP CENTER DISTANCE: 2 RATIO: 40:1 OUTPUT RPM: 43.75,none
141947,20Q40L56WP,Dodge 20Q40L56WP CENTER DISTANCE: 2 RATIO: 40:1 OUTPUT RPM: 43.75,none
141946,20Q30R56WP,Dodge 20Q30R56WP CENTER DISTANCE: 2 RATIO: 30:1 OUTPUT RPM: 58.33,none
141945,20Q30LR56WP,Dodge 20Q30LR56WP CENTER DISTANCE: 2 RATIO: 30:1 OUTPUT RPM: 58.33,none
141944,20Q30L56WP,Dodge 20Q30L56WP CENTER DISTANCE: 2 RATIO: 30:1 OUTPUT RPM: 58.33,none
141943,20Q25LR56WP,Dodge 20Q25LR56WP CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141942,20Q25L56WP,Dodge 20Q25L56WP CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141941,20Q25L14WP,Dodge 20Q25L14WP CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141940,20Q20R56WP,Dodge 20Q20R56WP CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141939,20Q60LR56WP,Dodge 20Q60LR56WP CENTER DISTANCE: 2 RATIO: 60:1 OUTPUT RPM: 29.17,none
141938,20Q60L56WP,Dodge 20Q60L56WP CENTER DISTANCE: 2 RATIO: 60:1 OUTPUT RPM: 29.17,none
141937,20Q10R14WP,Dodge 20Q10R14WP CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141936,20Q10LR56WP,Dodge 20Q10LR56WP CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141935,20Q10L14WP,Dodge 20Q10L14WP CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141934,20Q07R14WP,Dodge 20Q07R14WP CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141933,20Q07LR56WP,Dodge 20Q07LR56WP CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141932,20Q07LR14WP,Dodge 20Q07LR14WP CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141931,20Q07L14WP,Dodge 20Q07L14WP CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141930,20Q05R56WP,Dodge 20Q05R56WP CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141929,20Q05R14WP,Dodge 20Q05R14WP CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141928,20Q05LR56WP,Dodge 20Q05LR56WP CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141927,20Q05L14WP,Dodge 20Q05L14WP CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141926,20Q20LR56WP,Dodge 20Q20LR56WP CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141925,20Q20LR14WP,Dodge 20Q20LR14WP CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141924,20Q20L56WP,Dodge 20Q20L56WP CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141923,20Q15R56WP,Dodge 20Q15R56WP CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141922,20Q15R14WP,Dodge 20Q15R14WP CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141921,20Q15LR56WP,Dodge 20Q15LR56WP CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141920,20Q15LR14WP,Dodge 20Q15LR14WP CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141919,20Q15L14WP,Dodge 20Q15L14WP CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141918,202Q60R56WP,DODGE 202Q60R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141917,202Q50R56WP,DODGE 202Q50R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141916,202Q50L56WP,DODGE 202Q50L56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141915,202Q40L56WP,DODGE 202Q40L56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141914,202Q30R56WP,DODGE 202Q30R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141913,202Q30L56WP,DODGE 202Q30L56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141912,202Q25R56WP,DODGE 202Q25R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141911,202Q20R56WP,DODGE 202Q20R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141910,202Q20L56WP,DODGE 202Q20L56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141909,202Q15R56WP,DODGE 202Q15R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141908,202Q15R14WP,DODGE 202Q15R14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141907,202Q15L14WP,DODGE 202Q15L14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141906,202Q10R56WP,DODGE 202Q10R56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141905,202Q10R14WP,DODGE 202Q10R14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141904,202Q10L14WP,DODGE 202Q10L14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141903,202Q07L56WP,DODGE 202Q07L56WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141902,202Q07L14WP,DODGE 202Q07L14WP TIGEAR-2 REDUCER W/ WHITE PAINT,none
141901,20Q25R56,Dodge 20Q25R56 CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141900,20Q25R14,Dodge 20Q25R14 CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141899,20Q25LR14,Dodge 20Q25LR14 CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141898,20Q25L56,Dodge 20Q25L56 CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141897,20Q25L14,Dodge 20Q25L14 CENTER DISTANCE: 2 RATIO: 25:1 OUTPUT RPM: 70,none
141896,20Q20LR56,Dodge 20Q20LR56 CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141895,20Q20LR14,Dodge 20Q20LR14 CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141894,20Q20L56,Dodge 20Q20L56 CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141893,20Q20L14,Dodge 20Q20L14 CENTER DISTANCE: 2 RATIO: 20:1 OUTPUT RPM: 87.5,none
141892,20Q15R14,Dodge 20Q15R14 CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141891,20Q15L56,Dodge 20Q15L56 CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141890,20Q15L14,Dodge 20Q15L14 CENTER DISTANCE: 2 RATIO: 15:1 OUTPUT RPM: 116.67,none
141889,20Q60R56,Dodge 20Q60R56 CENTER DISTANCE: 2 RATIO: 60:1 OUTPUT RPM: 29.17,none
141888,20Q50R56,Dodge 20Q50R56 CENTER DISTANCE: 2 RATIO: 50:1 OUTPUT RPM: 35,none
141887,20Q50LR56,Dodge 20Q50LR56 CENTER DISTANCE: 2 RATIO: 50:1 OUTPUT RPM: 35,none
141886,20Q50L56,Dodge 20Q50L56 CENTER DISTANCE: 2 RATIO: 50:1 OUTPUT RPM: 35,none
141885,20Q40R56,Dodge 20Q40R56 CENTER DISTANCE: 2 RATIO: 40:1 OUTPUT RPM: 43.75,none
141884,20Q40L56,Dodge 20Q40L56 CENTER DISTANCE: 2 RATIO: 40:1 OUTPUT RPM: 43.75,none
141883,20Q30L56,Dodge 20Q30L56 CENTER DISTANCE: 2 RATIO: 30:1 OUTPUT RPM: 58.33,none
141882,20Q10R56,Dodge 20Q10R56 CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141881,20Q10R14,Dodge 20Q10R14 CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141880,20Q10L56,Dodge 20Q10L56 CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141879,20Q10L14,Dodge 20Q10L14 CENTER DISTANCE: 2 RATIO: 10:1 OUTPUT RPM: 175,none
141878,20Q07R56,Dodge 20Q07R56 CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141877,20Q07R14,Dodge 20Q07R14 CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141876,20Q07LR14,Dodge 20Q07LR14 CENTER DISTANCE: 2 RATIO: 7:1 OUTPUT RPM: 250,none
141875,20Q05R56,Dodge 20Q05R56 CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141874,20Q05R14,Dodge 20Q05R14 CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141873,20Q05LR56,Dodge 20Q05LR56 CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141872,176Q60L56,Dodge 20Q05L14 CENTER DISTANCE: 2 RATIO: 5:1 OUTPUT RPM: 350,none
141871,202Q05R56,DODGE 202Q05R56 202Q05R56 TIGEAR-2 REDUCER,none
141870,202Q05R14,DODGE 202Q05R14 202Q05R14 TIGEAR-2 REDUCER,none
141869,202Q05L56,DODGE 202Q05L56 202Q05L56 TIGEAR-2 REDUCER,none
141868,202Q50R56,DODGE 202Q50R56 202Q50R56 TIGEAR-2 REDUCER,none
141867,202Q40R56,DODGE 202Q40R56 202Q40R56 TIGEAR-2 REDUCER,none
141866,202Q30R56,DODGE 202Q30R56 202Q30R56 TIGEAR-2 REDUCER,none
141865,202Q30L56,DODGE 202Q30L56 202Q30L56 TIGEAR-2 REDUCER,none
141864,202Q25L56,DODGE 202Q25L56 202Q25L56 TIGEAR-2 REDUCER,none
141863,202Q25L14,DODGE 202Q25L14 202Q25L14 TIGEAR-2 REDUCER,none
141862,202Q20R56,DODGE 202Q20R56 202Q20R56 TIGEAR-2 REDUCER,none
141861,202Q20R14,DODGE 202Q20R14 202Q20R14 TIGEAR-2 REDUCER,none
141860,202Q20L14,DODGE 202Q20L14 202Q20L14 TIGEAR-2 REDUCER,none
141859,202Q15R56,DODGE 202Q15R56 202Q15R56 TIGEAR-2 REDUCER,none
141858,202Q15L14,DODGE 202Q15L14 202Q15L14 TIGEAR-2 REDUCER,none
141857,202Q10R56,DODGE 202Q10R56 202Q10R56 TIGEAR-2 REDUCER,none
141856,202Q10L14,DODGE 202Q10L14 202Q10L14 TIGEAR-2 REDUCER,none
141855,202Q07R56,DODGE 202Q07R56 202Q07R56 TIGEAR-2 REDUCER,none
141854,202Q07R14,DODGE 202Q07R14 202Q07R14 TIGEAR-2 REDUCER,none
141853,202Q07L56,DODGE 202Q07L56 202Q07L56 TIGEAR-2 REDUCER,none
141852,202Q60R56,DODGE 202Q60R56 202Q60R56 TIGEAR-2 REDUCER,none
141851,17Q60R56,Dodge 17Q60R56 CENTER DISTANCE: 1.7 RATIO: 60:1 OUTPUT RPM: 29.17,none
141850,17Q60L56,Dodge 17Q60L56 CENTER DISTANCE: 1.7 RATIO: 60:1 OUTPUT RPM: 29.17,none
141849,17Q50R56,Dodge 17Q50R56 CENTER DISTANCE: 1.7 RATIO: 50:1 OUTPUT RPM: 35,none
141848,17Q40R56,Dodge 17Q40R56 CENTER DISTANCE: 1.7 RATIO: 40:1 OUTPUT RPM: 43.75,none
141847,17Q40LR56,Dodge 17Q40LR56 CENTER DISTANCE: 1.7 RATIO: 40:1 OUTPUT RPM: 43.75,none
141846,17Q40L56,Dodge 17Q40L56 CENTER DISTANCE: 1.7 RATIO: 40:1 OUTPUT RPM: 43.75,none
141845,17Q10L14,Dodge 17Q10L14 CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141844,17Q07R14,Dodge 17Q07R14 CENTER DISTANCE: 1.7 RATIO: 7:1 OUTPUT RPM: 250,none
141843,17Q07L56,Dodge 17Q07L56 CENTER DISTANCE: 1.7 RATIO: 7:1 OUTPUT RPM: 250,none
141842,17Q07L14,Dodge 17Q07L14 CENTER DISTANCE: 1.7 RATIO: 7:1 OUTPUT RPM: 250,none
141841,17Q05R56,Dodge 17Q05R56 CENTER DISTANCE: 1.7 RATIO: 5:1 OUTPUT RPM: 350,none
141840,17Q05LR14,Dodge 17Q05LR14 CENTER DISTANCE: 1.7 RATIO: 5:1 OUTPUT RPM: 350,none
141839,17Q05L56,Dodge 17Q05L56 CENTER DISTANCE: 1.7 RATIO: 5:1 OUTPUT RPM: 350,none
141838,17Q05L14,Dodge 17Q05L14 CENTER DISTANCE: 1.7 RATIO: 5:1 OUTPUT RPM: 350,none
141837,17Q30R56,Dodge 17Q30R56 CENTER DISTANCE: 1.7 RATIO: 30:1 OUTPUT RPM: 58.33,none
141836,17Q30L56,Dodge 17Q30L56 CENTER DISTANCE: 1.7 RATIO: 30:1 OUTPUT RPM: 58.33,none
141835,17Q25L56,Dodge 17Q25L56 CENTER DISTANCE: 1.7 RATIO: 25:1 OUTPUT RPM: 70,none
141834,17Q20R56,Dodge 17Q20R56 CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141833,17Q20R14,Dodge 17Q20R14 CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141832,17Q20L56,Dodge 17Q20L56 CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141831,17Q20L14,Dodge 17Q20L14 CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141830,17Q15R56,Dodge 17Q15R56 CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141829,17Q15R14,Dodge 17Q15R14 CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141828,17Q15LR14,Dodge 17Q15LR14 CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141827,17Q10R56,Dodge 17Q10R56 CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141826,17Q10R14,Dodge 17Q10R14 CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141825,17Q10LR56,Dodge 17Q10LR56 CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141824,176Q60L56,DODGE 176Q60L56 176Q60L56 TIGEAR-2 REDUCER,none
141823,176Q50R56,DODGE 176Q50R56 176Q50R56 TIGEAR-2 REDUCER,none
141822,176Q50L56,DODGE 176Q50L56 176Q50L56 TIGEAR-2 REDUCER,none
141821,176Q40R56,DODGE 176Q40R56 176Q40R56 TIGEAR-2 REDUCER,none
141820,176Q30R56,DODGE 176Q30R56 176Q30R56 TIGEAR-2 REDUCER,none
141819,176Q25R56,DODGE 176Q25R56 176Q25R56 TIGEAR-2 REDUCER,none
141818,176Q20R56,DODGE 176Q20R56 176Q20R56 TIGEAR-2 REDUCER,none
141817,176Q20R14,DODGE 176Q20R14 176Q20R14 TIGEAR-2 REDUCER,none
141816,176Q15R56,DODGE 176Q15R56 176Q15R56 TIGEAR-2 REDUCER,none
141815,176Q15R14,DODGE 176Q15R14 176Q15R14 TIGEAR-2 REDUCER,none
141814,176Q15L56,DODGE 176Q15L56 176Q15L56 TIGEAR-2 REDUCER,none
141813,176Q15L14,DODGE 176Q15L14 176Q15L14 TIGEAR-2 REDUCER,none
141812,176Q10R14,DODGE 176Q10R14 176Q10R14 TIGEAR-2 REDUCER,none
141811,176Q10L56,DODGE 176Q10L56 176Q10L56 TIGEAR-2 REDUCER,none
141810,176Q07L56,DODGE 176Q07L56 176Q07L56 TIGEAR-2 REDUCER,none
141809,176Q07L14,DODGE 176Q07L14 176Q07L14 TIGEAR-2 REDUCER,none
141808,176Q05R56,DODGE 176Q05R56 176Q05R56 TIGEAR-2 REDUCER,none
141807,176Q05L14,DODGE 176Q05L14 176Q05L14 TIGEAR-2 REDUCER,none
141806,176Q60R56,DODGE 176Q60R56 176Q60R56 TIGEAR-2 REDUCER,none
141805,17Q20R56WP,Dodge 17Q20R56WP CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141804,17Q20LR56WP,Dodge 17Q20LR56WP CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141803,17Q20LR14WP,Dodge 17Q20LR14WP CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141802,17Q20L56WP,Dodge 17Q20L56WP CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141801,17Q20L14WP,Dodge 17Q20L14WP CENTER DISTANCE: 1.7 RATIO: 20:1 OUTPUT RPM: 87.5,none
141800,17Q15R56WP,Dodge 17Q15R56WP CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141799,17Q15LR14WP,Dodge 17Q15LR14WP CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141798,17Q15L14WP,Dodge 17Q15L14WP CENTER DISTANCE: 1.7 RATIO: 15:1 OUTPUT RPM: 116.67,none
141797,17Q10R56WP,Dodge 17Q10R56WP CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141796,17Q10R14WP,Dodge 17Q10R14WP CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141795,17Q10LR14WP,Dodge 17Q10LR14WP CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141794,17Q10L56WP,Dodge 17Q10L56WP CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141793,17Q10L14WP,Dodge 17Q10L14WP CENTER DISTANCE: 1.7 RATIO: 10:1 OUTPUT RPM: 175,none
141792,17Q07R56WP,Dodge 17Q07R56WP CENTER DISTANCE: 1.7 RATIO: 7:1 OUTPUT RPM: 250,none
