id,catalog_number,additional_description
2070720,B2SXL24-R200,
2070721,B2SXL24-R250,
2070722,B2SXL24-R300,
2070723,B2SXL36-R300,
2070724,B2SXL36-R400,
2070725,B38W-R100,
2070726,B38W-R150,
2070727,B38W-R200,
2070728,B38W-R250,
2070729,B38W-R300,
2070730,B38W-R400,
2070731,B38W-R600,
2070732,B38W-R800,
2070733,B5101E050CC-F,
2070734,B5101E050CC-G,
2070735,B5101E050CC-H,
2070736,B5101E075CC-F,
2070737,B5101E075CC-G,
2070738,B5101E075CC-H,
2070739,B5101E100CC-G,
2070740,B5101E100CC-H,
2070741,B5101E150CC-G,
2070742,B5101E200CC-G,
2070743,B5101E300CC-G,
2070744,B5101E300CC-H,
2070745,B5101E400CC-G,
2070746,B5102E100-F,
2070747,B5102E100-H,
2070748,B5102E150-F,
2070749,B5102E150-G,
2070750,B5102E150-H,
2070751,B5102E200-F,
2070752,B5102E200-H,
2070753,B5102E250-F,
2070754,B5102E250-G,
2070755,B5102E250-H,
2070756,B5102E300-F,
2070757,B5102E400-F,
2070758,B5104E100CC-F,
2070759,B5104E100CC-H,
2070760,B5104E150CC-F,
2070761,B5104E150CC-H,
2070762,B5104E200CC-G,
2070763,B5104E200CC-H,
2070764,B5104E250CC-F,
2070765,B5104E250CC-H,
2070766,B5115-RKS150,
2070767,B5115-RKS200,
2070768,B5115-RKS300,
2070769,B5115-RKS400,
2070770,B5115S150BB-C,
2070771,B5115S150CC-C,
2070772,B5115S200BB-C,
2070773,B5115S200CC-C,
2070774,B5115S300BB-C,
2070775,B5115S300CC-C,
2070776,B5115S400BB-C,
2070777,B5115S400CC-C,
2070778,B5121E1000LLBCC,
2070779,B5121E1200LLBCC,
2070780,B5121E200LL-BCC,
2070781,B5121E250LL-BCC,
2070782,B5121E300LL-BCC,
2070783,B5121E400LL-BCC,
2070784,B5121E500LL-BCC,
2070785,B5121E600LL-BCC,
2070786,B5121E800LL-BCC,
2070787,B5416MP-A100150,
2070788,B5416MP-A200,
2070789,B5416MP-A250,
2070790,B5416MP-A300,
2070791,B5416MP-A400,
2070792,B5416MP-A600,
2070793,B54BMP-R100,
2070794,B54BMP-R150,
2070795,B54BMP-R200,
2070796,B54BMP-R250,
2070797,B54BMP-R300,
2070798,B54BMP-R400,
2070799,B54BMP-R600,
